Initial Temp, Cooling Rate, Iteration, Trial Num, Train Accuracy, Test Accuracy, Train Time
Initial Temp, Cooling Rate, Iteration, Trial Num, Train Accuracy, Test Accuracy, Train Time
1E13,90,5000,3, 87.665, 82.609, 53.279
1E13,90,8000,1, 92.731, 84.348, 84.810
1E13,90,8000,2, 90.308, 86.957, 86.297
1E13,90,8000,3, 90.749, 92.174, 85.561
1E13,.95,100,1, 68.282, 40.870, 1.007
1E13,.95,100,2, 14.978, 10.435, 1.028
1E13,.95,100,3, 68.282, 40.870, 1.029
1E13,.95,200,1, 31.718, 59.130, 2.079
1E13,.95,200,2, 68.282, 40.870, 2.070
1E13,.95,200,3, 78.634, 77.391, 2.073
1E13,.95,400,1, 68.282, 40.870, 4.127
1E13,.95,400,2, 53.524, 40.870, 4.156
1E13,.95,400,3, 31.718, 59.130, 4.157
1E13,.95,800,1, 31.718, 59.130, 8.423
1E13,.95,800,2, 68.282, 40.870, 8.349
1E13,.95,800,3, 69.163, 40.870, 8.066
1E13,.95,1200,1, 68.943, 42.609, 12.432
1E13,.95,1200,2, 83.260, 78.261, 12.191
1E13,.95,1200,3, 87.004, 86.957, 12.447
1E13,.95,2500,1, 89.427, 80.000, 25.736
1E13,.95,2500,2, 77.533, 75.652, 26.108
1E13,.95,2500,3, 84.141, 86.957, 25.737
1E13,.95,5000,1, 88.546, 82.609, 57.272
1E13,.95,5000,2, 75.991, 51.304, 53.047
1E13,.95,5000,3, 92.070, 91.304, 53.032
1E13,.95,8000,1, 92.952, 80.870, 85.370
1E13,.95,8000,2, 91.850, 89.565, 84.397
1E13,.95,8000,3, 90.529, 83.478, 86.694
1E13,.99,100,1, 68.282, 40.870, 1.086
1E13,.99,100,2, 31.718, 59.130, 1.024
1E13,.99,100,3, 31.718, 59.130, 1.023
1E13,.99,200,1, 68.282, 40.870, 2.108
1E13,.99,200,2, 68.282, 40.870, 2.068
1E13,.99,200,3, 31.718, 59.130, 2.031
1E13,.99,400,1, 35.683, 61.739, 4.049
1E13,.99,400,2, 31.718, 59.130, 4.012
1E13,.99,400,3, 68.282, 40.870, 4.086
1E13,.99,800,1, 31.718, 59.130, 8.475
1E13,.99,800,2, 31.718, 59.130, 8.140
1E13,.99,800,3, 68.282, 40.870, 8.365
1E13,.99,1200,1, 65.419, 40.000, 12.412
1E13,.99,1200,2, 68.282, 40.870, 12.000
1E13,.99,1200,3, 68.282, 40.870, 12.359
1E13,.99,2500,1, 68.282, 40.870, 25.889
1E13,.99,2500,2, 31.718, 59.130, 26.108
1E13,.99,2500,3, 31.718, 59.130, 25.515
1E13,.99,5000,1, 83.040, 85.217, 53.056
1E13,.99,5000,2, 74.890, 56.522, 53.796
1E13,.99,5000,3, 88.106, 78.261, 53.105
1E13,.99,8000,1, 94.493, 83.478, 83.396
1E13,.99,8000,2, 94.053, 82.609, 83.119
1E13,.99,8000,3, 93.172, 87.826, 86.136
